resultId,raceId,driverId,constructorId,position,points
321,1141,846,1,1,8
322,1141,857,1,2,7
323,1141,844,6,3,6
324,1141,830,9,4,5
325,1141,832,6,5,4
326,1141,847,131,6,3
327,1141,842,214,7,2
328,1141,815,9,8,1
329,1141,859,215,9,0
330,1141,848,3,10,0
331,1141,1,131,11,0
332,1141,861,3,12,0
333,1141,839,214,13,0
334,1141,860,210,14,0
335,1141,852,215,15,0
336,1141,822,15,16,0
337,1141,855,15,17,0
338,1141,4,117,18,0
339,1141,840,117,19,0
340,1141,807,210,20,0
341,1143,857,1,1,8
342,1143,846,1,2,7
343,1143,847,131,3,6
344,1143,832,6,4,5
345,1143,844,6,5,4
346,1143,1,131,6,3
347,1143,807,210,7,2
348,1143,830,9,8,1
349,1143,842,214,9,0
350,1143,825,210,10,0
351,1143,4,117,11,0
352,1143,822,15,12,0
353,1143,840,117,13,0
354,1143,839,214,14,0
355,1143,848,3,15,0
356,1143,859,215,16,0
357,1143,852,215,17,0
358,1143,861,3,18,0
359,1143,855,15,19,0
360,1143,815,9,20,0
