raceId,driverId,constructorId,positionText,positionOrder,points,rank
30,15,7,16,16,0.0,14
30,21,10,17,17,0.0,19
30,8,6,18,18,0.0,1
30,22,11,R,19,0.0,20
30,12,4,R,20,0.0,18
31,20,5,1,1,10.0,14
31,5,1,2,2,8.0,13
31,9,2,3,3,6.0,12
31,4,4,4,4,5.0,9
31,2,2,5,5,4.0,6
31,13,6,6,6,3.0,4
31,1,1,7,7,2.0,5
31,17,9,8,8,1.0,3
31,8,6,9,9,0.0,1
31,12,4,10,10,0.0,16
31,10,7,11,11,0.0,8
31,6,3,12,12,0.0,11
31,15,7,13,13,0.0,15
31,3,3,14,14,0.0,10
31,18,11,15,15,0.0,7
31,14,9,16,16,0.0,17
31,22,11,17,17,0.0,19
31,7,5,18,18,0.0,2
31,16,10,19,19,0.0,18
31,21,10,R,20,0.0,20
32,4,4,1,1,10.0,3
32,3,3,2,2,8.0,5
32,1,1,3,3,6.0,4
32,10,7,4,4,5.0,8
32,20,5,5,5,4.0,9
32,2,2,6,6,3.0,11
32,14,9,7,7,2.0,13
32,6,3,8,8,1.0,10
32,18,11,9,9,0.0,15
32,5,1,10,10,0.0,12
32,9,2,11,11,0.0,6
32,7,5,12,12,0.0,14
32,13,6,13,13,0.0,2
32,21,10,14,14,0.0,16
32,8,6,15,15,0.0,1
32,15,7,R,16,0.0,7
32,16,10,R,17,0.0,18
32,17,9,R,18,0.0,17
32,22,11,R,19,0.0,19
32,12,4,R,20,0.0,20
33,4,4,1,1,10.0,3
33,9,2,2,2,8.0,7
33,8,6,3,3,6.0,2
33,12,4,4,4,5.0,4
33,15,7,5,5,4.0,9
33,20,5,6,6,3.0,12
33,13,6,7,7,2.0,1
33,17,9,8,8,1.0,13
33,2,2,9,9,0.0,8
33,7,5,10,10,0.0,6
33,3,3,11,11,0.0,10
33,1,1,12,12,0.0,11
33,22,11,13,13,0.0,16
33,18,11,14,14,0.0,17
33,6,3,15,15,0.0,15
33,21,10,R,16,0.0,19
33,5,1,R,17,0.0,5
33,16,10,R,18,0.0,18
33,10,7,R,19,0.0,14
33,14,9,R,20,0.0,\N
34,1,1,1,1,10.0,1
34,13,6,2,2,8.0,4
34,8,6,3,3,6.0,2
34,4,4,4,4,5.0,5
34,2,2,5,5,4.0,3
34,9,2,6,6,3.0,7
34,10,7,7,7,2.0,6
34,12,4,8,8,1.0,8
34,20,5,9,9,0.0,9
34,14,9,10,10,0.0,14
34,22,11,11,11,0.0,16
34,6,3,12,12,0.0,17
34,7,5,13,13,0.0,12
34,17,9,14,14,0.0,13
34,3,3,15,15,0.0,10
34,18,11,16,16,0.0,15
34,21,10,17,17,0.0,18
34,5,1,R,18,0.0,11
34,16,10,R,19,0.0,19
34,15,7,R,20,0.0,20
35,13,6,1,1,10.0,1
35,4,4,2,2,8.0,8
35,8,6,3,3,6.0,3
35,20,5,4,4,5.0,7
35,1,1,5,5,4.0,4
35,10,7,6,6,3.0,2
35,5,1,7,7,2.0,6
35,15,7,8,8,1.0,5
35,17,9,9,9,0.0,14
35,2,2,10,10,0.0,10
35,9,2,11,11,0.0,9
35,3,3,12,12,0.0,12
35,18,11,13,13,0.0,11
35,7,5,14,14,0.0,13
35,22,11,15,15,0.0,16
35,16,10,16,16,0.0,17
35,6,3,17,17,0.0,18
35,21,10,18,18,0.0,15
35,12,4,R,19,0.0,\N
35,14,9,R,20,0.0,\N
36,8,6,1,1,10.0,1
36,4,1,2,2,8.0,2
36,1,1,3,3,6.0,3
36,2,2,4,4,5.0,6
36,21,4,5,5,4.0,7
36,13,6,6,6,3.0,8
36,3,3,7,7,2.0,5
36,23,7,8,8,1.0,12
36,15,7,9,9,0.0,13
36,5,4,10,10,0.0,10
36,22,11,11,11,0.0,14
36,11,8,12,12,0.0,18
36,17,9,13,13,0.0,9
36,24,5,14,14,0.0,15
36,18,11,15,15,0.0,17
36,19,8,16,16,0.0,19
36,16,12,17,17,0.0,20
